What is purpose ?	the purpose is to check the validation of computerized systems, which provides documented evidence that the system works in a reliable and reproducible manner in accordance with the applicable internal directives, user and regulatory requirements.
What is scope ?	this procedure applies to the validation activities of all gxp computerized systems built, supported and managed by its during the entire life cycle from project initiation to system decommissioning. all employees and subcontractors in charge of or participating in the validation of a gxp regulated computerized system supported by its must be trained on this procedure according to the training management procedure applicable to the trainee. any third party provided documentation must comply with this procedure. general validation principles listed in this procedure apply to the qualification of infrastructure components supported and managed by its. however, in order to take into account specificities, infrastructure qualification activities and responsibilities are detailed in specific quality document.
What is out of scope ?	this procedure does not apply to computerized systems, which are not implemented or supported by its example laboratory or manufacturing computerized equipment.this procedure does not apply to nongxp computerized systems.
What is business system owner (bso) ?	person accountable for the business process supported by the computerized system, and ensuring the gxp compliance of the system and associated data (qgqd003024). the bso is equivalent to the system owner (so) as defined in the responsibilities section of this document.
What are deviation (in the context of cs validation activities) ?	nonconformance with planned activities (example validation plan, test design), sops or approved acceptance criteria. any unresolved testing anomalies must be addressed as deviations. all unresolved deviations must be classified as critical, major or minor in the system release deliverables (conformity certificate, authorization for use, validation report).
What is minor deviation ?	a deviation not classified as critical or major, which potentially impacts a gxp system, utility, equipment, material, component, environment or documentation, but does not affect product quality, safety or efficacy.
What is major deviation ?	a noncritical deviation, which potentially affects the quality, safety, efficacy of a product or the ability to meet gxp requirements.
What is critical deviation ?	a deficiency in material, product, system or service that can affect significantly the quality, safety or efficacy of a product or can lead to health threatening conditions in a product. alternatively, any deficiency that can lead to a noncompliant product or to a situation that may be cited by regulatory authorities as critical.
What is gxp critical system (c) ?	a system is gxp critical if failure of at least one of its functions causes a violation of gxp or other healthrelated regulations with direct impact on product quality, patient and consumer safety, or data integrity.
What is gxp major system (m) ?	a system is gxp major if failure of at least one of its functions causes a direct violation of gxp or other healthrelated regulations, with no direct impact on product quality, patient and consumer safety, or data integrity.
What are gxp minor system (m) ?	a system is gxp minor if failure of at least one of its functions causes an indirect violation of gxp or other healthrelated regulations, with no direct impact on product quality, patient and consumer safety, or data integrity.
What is global computerized system ?	it is a computerized system with a global governance that is used by more than one entity within or across sanofi operational units, sites or countries.
What is distributed global computerized system ?	it is a global computerized system with multiple installations.
What is centralized global computerized system ?	it is a global computerized system with a single installation hosting business application and data.
What is installation qualification (iq) ?	validation activity to verify that the hardware and software components of the system are installed according to specifications and suppliers recommendations.
What is local computerized system ?	it is a computerized system used exclusively within one site, country or department.
What is nongxp system ?	it is a system is non gxp if none of its functions is used to comply with the gxp regulations.
What is system document ?	any documentation issued through the project that will have to be maintained and updated throughout the maintenance process, post golive, during the entire system life cycle. system documents may also be created during the operation and maintenance of a system. 
What is system integration test (sit) ?	it is an activity performed by its to verify that the software operates according to its specifications.
What is technical system owner (tso) ?	person responsible for design, delivery, availability, support, and maintenance of gxp computerized systems and security of the associated data (typically from engineering or information systems departments) (qgqd003024). activities related to this role are addressed by ipl, ptc, aex, ase and ise from responsibilities section of this document.
What is user acceptance test (uat) ?	validation activity performed by user representative to verify that the software operates according to the user and functional requirements.
